entry_time,direction,entry,exit,exit_type,pnl_pct,win,prob
2024-05-28,SHORT,68364.19,68022.37,tp,0.004025,1,0.9368
2024-05-29,SHORT,67618.59,67280.5,tp,0.004025,1,0.9185
2024-05-30,SHORT,68317.99,67976.4,tp,0.004025,1,0.8639
2024-05-31,SHORT,67506.24,67708.76,sl,-0.003991,0,0.8819
2024-06-01,SHORT,67732.97,67394.3,tp,0.004025,1,0.8901
2024-06-02,SHORT,67731.75,67934.94,sl,-0.003991,0,0.8716
2024-06-03,SHORT,68775.5,68981.82,sl,-0.003991,0,0.8444
2024-06-04,LONG,70573.11,70925.97,tp,0.004,1,0.8301
2024-06-05,SHORT,71072.45,70717.08,tp,0.004025,1,0.812
2024-06-06,LONG,70834.46,71188.63,tp,0.004,1,0.8261
2024-06-07,SHORT,69320.92,69528.88,sl,-0.003991,0,0.8562
2024-06-08,SHORT,69275.8,69483.63,sl,-0.003991,0,0.9004
2024-06-09,SHORT,69613.32,69265.25,tp,0.004025,1,0.8989
2024-06-10,SHORT,69505.23,69157.7,tp,0.004025,1,0.7682
2024-06-11,LONG,67347.9,67684.64,tp,0.004,1,0.9063
2024-06-12,SHORT,68229.86,67888.71,tp,0.004025,1,0.7942
2024-06-13,LONG,66806.4,67140.43,tp,0.004,1,0.8962
2024-06-14,LONG,66077.01,66407.4,tp,0.004,1,0.8846
2024-06-15,LONG,66261.36,66592.67,tp,0.004,1,0.8648
2024-06-16,SHORT,66643.53,66310.31,tp,0.004025,1,0.804
2024-06-17,SHORT,66471.08,66138.72,tp,0.004025,1,0.7789
2024-06-18,LONG,65207.91,65533.95,tp,0.004,1,0.8726
2024-06-19,LONG,65006.86,65331.89,tp,0.004,1,0.8523
2024-06-20,LONG,64902.42,64707.72,sl,-0.004,0,0.8161
2024-06-21,LONG,64175.63,64496.51,tp,0.004,1,0.818
2024-06-22,LONG,64294.14,64101.26,sl,-0.004,0,0.8234
2024-06-23,LONG,63241.62,63051.89,sl,-0.004,0,0.8924
2024-06-24,SHORT,60263.15,60443.94,sl,-0.003991,0,0.9255
2024-06-25,SHORT,61775.11,61466.23,tp,0.004025,1,0.9242
2024-06-26,SHORT,60834.56,61017.06,sl,-0.003991,0,0.8997
2024-06-27,SHORT,61675.62,61367.24,tp,0.004025,1,0.8938
2024-06-28,SHORT,60397.63,60578.82,sl,-0.003991,0,0.8386
2024-06-29,SHORT,60956.19,61139.06,sl,-0.003991,0,0.9017
2024-06-30,SHORT,62740.62,62928.85,sl,-0.003991,0,0.9264
2024-07-01,SHORT,62868.54,62554.2,tp,0.004025,1,0.8992
2024-07-02,SHORT,62104.4,61793.88,tp,0.004025,1,0.8906
2024-07-03,LONG,60238.68,60057.97,sl,-0.004,0,0.8864
2024-07-04,SHORT,57021.48,56736.38,tp,0.004025,1,0.8885
2024-07-05,SHORT,56600.48,56317.47,tp,0.004025,1,0.904
2024-07-06,SHORT,58201.01,57910.01,tp,0.004025,1,0.9264
2024-07-07,SHORT,55829.88,55550.73,tp,0.004025,1,0.9372
2024-07-08,SHORT,56686.26,56402.83,tp,0.004025,1,0.9128
2024-07-09,SHORT,58020.98,57730.87,tp,0.004025,1,0.9358
2024-07-10,SHORT,57696.99,57408.5,tp,0.004025,1,0.9194
2024-07-11,SHORT,57311.22,57024.66,tp,0.004025,1,0.9145
2024-07-12,SHORT,57860.16,58033.74,sl,-0.003991,0,0.8826
2024-07-13,SHORT,59174.42,59351.94,sl,-0.003991,0,0.9441
2024-07-14,SHORT,60767.51,60949.81,sl,-0.003991,0,0.9449
2024-07-15,SHORT,64691.78,64368.32,tp,0.004025,1,0.9037
2024-07-16,SHORT,65011.47,64686.41,tp,0.004025,1,0.8789
2024-07-17,SHORT,64055.95,63735.67,tp,0.004025,1,0.8783
2024-07-18,LONG,64019.91,64340.01,tp,0.004,1,0.838
2024-07-19,LONG,66693.33,67026.8,tp,0.004,1,0.8256
2024-07-20,LONG,67173.53,67509.4,tp,0.004,1,0.7758
2024-07-21,SHORT,68131.26,67790.6,tp,0.004025,1,0.7489
2024-07-22,LONG,67565.78,67363.08,sl,-0.004,0,0.8532
2024-07-23,LONG,65968.98,66298.82,tp,0.004,1,0.8606
2024-07-24,LONG,65408.69,65735.73,tp,0.004,1,0.8531
2024-07-25,SHORT,65767.05,65964.35,sl,-0.003991,0,0.7844
2024-07-26,SHORT,67874.04,67534.67,tp,0.004025,1,0.8281
2024-07-27,LONG,67930.45,68270.1,tp,0.004,1,0.8051
